date,River Discharge (cfs) - Average,American Shad
2019-05-06,37582,0
2019-05-07,33875,1479
2019-05-08,30848,1727
2019-05-09,29419,3652
2019-05-10,26554,3421
2019-05-11,28226,2307
2019-05-12,33155,2791
2019-05-13,37786,0
2019-05-14,35567,1450
2019-05-15,35575,1265
2019-05-16,35482,1895
2019-05-17,27726,4524
2019-05-18,25797,5103
2019-05-19,24228,7415
2019-05-20,23060,30514
2019-05-21,32724,10348
2019-05-22,38452,0
2019-05-23,34850,5845
2019-05-24,28378,0
2019-05-25,24544,34132
2019-05-26,23149,14007
2019-05-27,21571,27230
2019-05-28,22864,14874
2019-05-29,25297,9285
2019-05-30,26322,7386
2019-05-31,25592,7845
2019-06-01,22093,48870
2019-06-02,19063,25772
2019-06-03,17668,11027
2019-06-04,16819,5467
2019-06-05,15336,3856
2019-06-06,15258,2568
2019-06-07,26352,2767
2019-06-08,29004,2853
2019-06-09,22342,1774
2019-06-10,16189,2102
2019-06-11,15178,1263
2019-06-12,14477,531
2019-06-13,19426,1167
2019-06-14,17195,397
2019-06-15,14655,704
2019-06-16,13401,608
2019-06-17,15413,261
2019-06-18,16040,496
2019-06-19,13313,327
2019-06-20,11292,1001
2019-06-21,12365,219
2019-06-22,23759,414
2019-06-23,22838,311
2019-06-24,20117,112
2019-06-25,15455,0
2019-06-26,11853,0
2019-06-27,14258,244
2019-06-28,17505,111
2019-06-29,15170,152
2019-06-30,11838,89
2019-07-01,10971,82
2019-07-02,14620,56
2019-07-03,12657,48
2019-07-04,10198,18
2019-07-05,8532,31
2019-07-06,10105,0
2019-07-07,9090,0
2019-07-08,7931,46
2019-07-09,7399,9
2019-07-10,8086,17
2019-07-11,6855,70
2019-07-12,6273,18
2019-07-13,9605,0
2019-07-14,8784,0
2019-07-15,8627,8
